,Data
0,Generaltermsandconditions
1,insurancepolicyandGeneral
2,coverrestrictionsareset
3,âˆ’Organisationandassumption
4,personwhoisclosely
5,intheformof
6,etc.)andtoany
7,cardoraninsured
8,(GTC).Temporalandgeographical
9,"out,thetripis"
10,"mountaineering,mountaintoursat"
11,PublicHealthFOPHor
12,âˆ’Noinsurancecover
13,tooutpatientorinpatient
14,iftheinsuredperson
15,entitlementtobenefitsif
16,isnoentitlementto
17,"Inparticular,thereis"
18,onthepolicyholderand
19,oraccommodation/courseproviderand
20,Healthcarecostsabroad.
21,company/hotelmanagementandfor
22,durationoflessthan
23,persontoprocessthe
24,purposesoffulfillingits
25,Organisationandassumptionof
26,pereventperevent
27,aresultofdamage
28,inconjunctionwithtrips
29,eventofanemergency
30,carecostsabroad.................................................................................................................................................................................................................10
31,2GeographicalscopeUnless
32,attemptedsuicide;âˆ’participation
33,followingeventsandtheir
34,3.7Travelforthe
35,kidnappingsarenotinsured.
36,claimsandcedethem
37,"theMediterranean,plusthe"
38,insuredpersonona
39,residenceortripdestination.
40,defectthatmakesit
41,"hail,avalanche,snowpressure,"
42,formobileusewithout
43,reimbursedonceonly.7.3
44,expirefiveyearsafter
45,1P.O.Box8304
46,thedeathofone
47,andâˆ’theinability
48,subsequenttobookingthe
49,Damagetopropertyat
50,oraccidentduringthe
51,assumptionofemploymentoccurs
52,"aninsuredevent,Allianz"
53,arisingfromthedelayed
54,alreadyoccurredbythe
55,circumstancesnecessitatingcancellationof
56,personmustimmediatelycancel
57,ofachronicillness
58,availablearoundtheclock
59,thisisnecessaryfor
60,assumptionofthecosts
61,oftheinsuredcancellation
62,costsintheevent
63,ofaclaim(in
64,costs.CTravelassistance
65,ifthelatterwould
66,g.COVID-19).Thisdoes
67,orhavingfailedto
68,iscancelledasa
69,associatedcosts.TheAllianz
70,costsforcontinuingthe
71,theftmustbereported
72,3.5UnforeseenexpensesAssumption
73,necessitatingcancellationorabandonment
74,onoccurrenceofthe
75,ofaninsuredperson
76,costsofcremation(including
77,"thetrip,thecosts"
78,AllianzTravelemergencycall
79,wheretheinsuredperson
80,"ofaclaim,Allianz"
81,vouchertothevalue
82,AllianzTravelemergencycall
83,notprovidecontractuallyagreed
84,âˆ’evidenceofdelay
85,policy.3.3Thecosts
86,5.1AllianzTravelprovides
87,"ofmedicalaids,if"
88,"insurer,AllianzTravelwill"
89,isnoentitlementto
90,"ageneralward,the"
91,(conversationswiththeemergency
92,andtreatmentfortiredness
93,inrelationtostatutory
94,statements/rulingsinrelationto
95,aninsuredpersonduring
96,sectionIIJ4
97,trailer.6.7Claimsrejected
98,forthedamage.K
99,delivery/handoverbyapublic
100,andrentalcostsfor
101,"ticketsandvouchers,cash"
102,oftheinsuredperson
103,dutieswhentravellingValuable
104,"thirdparty,traveland/or"
105,assessmentattheinsured
106,"oftheguarantee,if"
107,orauthorisedtoperform
108,allprivatecardsissued
109,faxande-mailbanking;
110,theinsuredpersonhad
111,6.1Inthecase
112,onourwebsite:www.allianz-travel.ch/claims
113,"Macedonia,Norway,Poland,Portugal,"
114,assumptionofassociatedcosts.
115,"atasuitable,nearby"
116,thereturnjourneyfor
117,tofulfilthecontractual
118,thecurrentvalueof
119,organiseandassumethe
120,non-publicornon-officialroads.
121,onoccurrenceofthe
122,proceedingsduetocrimes
123,withinEuropeandper
124,"10,e-mail:capoffice@cap.ch,www.cap.ch,"
125,owedbyCAP.5.3
126,personmayrequesta
127,applytothepolicyholder
128,"assistanceDuringthetrip,"
129,personwherenecessaryabout
130,Travelwillmakean
131,"5HomecareIf,"
132,callthefollowingnumbers
