,Question,Answer,Page
0,General terms and conditions of insurance of Allianz Travel ,The following customer information provides a concise overview of the insurer's identity and the material content of the insurance contract (Article 3 of the Swiss Insurance Contract Act â€“ ICA). Only the insurance policy and General terms and conditions of insurance (GTC) are authoritative for the content and scope of the rights and obligations derived from the insurance contract. ,1
1,Who is the insurer? ,"The insurer is AWP P&C S.A., Saint-Ouen (Paris), Wallisellen Branch (Switzerland), hereinafter referred to as Allianz Travel. The company headquarters are at Richtiplatz 1, 8304 Wallisellen. ",1
2,Who is the policyholder? ,The policyholder is the person designated as such in the insurance policy. ,1
3,What risks are insured and what is the scope of the cover? ,"Assumption of the cancellation costs owed by the insured person in the event of cancellation of the booked trip as a result of a failure to move up a year, resitting of a failed examination or another event that is listed as insured in the GTC. In the event of unexpected cancellation during the stay abroad of study courses, work experience, research or seminars originally confirmed in writing or another event that is listed as insured in the GTC, the extra return journey will be organised and the related costs assumed instead of the benefits referred to above. This cover only applies to persons up to their 26th birthday. ",1
4,Which persons are insured? ,"In the case of insurance policies with a term of one year (annual insurance policies), the insurance policy states whether the insurance cover applies to the policyholder alone (single person) or to the policyholder and the persons living with him/her in the same household as well as their minor children not living in the same household (family insurance policy), provided these are accompanying an insured person and their permanent place of residence is in Switzerland. The insured persons are in each case essentially set out in the insurance policy and the General terms and conditions of insurance (GTC). ",1
5,Temporal and geographical scope of the insurance cover ,"The insurance cover basically applies worldwide during the insurance period. Local restrictions in the special provisions for the individual insurance components as well as economic or trade sanctions or embargoes of the United Nations, the European Union, the United States of America or Switzerland that contradict the insurance cover remain reserved. ",1
6,What are the main exclusions? ,There is no entitlement to benefits if the Allianz Travel emergency call centre has not agreed to the benefits in advance in the event of the trip being terminated. ,2
7,Which obligations are incumbent on the policyholder and insured persons? ,"Termination of a trip: Once the insured event has occurred, the Allianz Travel emergency call centre must be notified immediately and its agreement obtained for any assistance measures or assumption of associated costs. The Allianz Travel emergency call centre is available around the clock: telephone +41 44 202 00 00, fax +41 44 283 33 33. ",2
8,How much is the premium? ,The amount of the premium depends on the risks insured and stipulated level of cover. The amount of the premium is defined with the application and results from the insurance policy. ,2
9,When does the insurance begin and end? ,This list contains only the main causes for termination. There are others set out in the General terms and conditions of insurance and the ICA. ,2
10,Right of revocation ,"The policyholder may revoke the contract within a period of 14 days from the application to conclude the contract or the declaration of acceptance thereof by notifying the insurer in text form (e.g. letter, e-mail). The right of revocation is excluded for provisional cover commitments and contracts with a duration of less than one month. ",2
11,How does Allianz Travel treat data? ,Allianz Travel stores data electronically or physically in compliance with the legal provisions. ,2
12,"Persons whose data is processed by Allianz Travel have the right, in accordance with the Data Protection Act (DPA), to ask what data concerning them Allianz Travel actually processes; they may also request the rectification of incorrect data. ",Richtiplatz 1 P.O. Box ,3
13,8304 Wallisellen ,The Common provisions to all insurance components only apply insofar as the Special provisions for the individual insurance or service components contain no provisions to the contrary. ,4
14,1 Insured persons ,Persons with permanent residence in Switzerland are insured under section I 1.1. ,4
15,2 Geographical scope ,"Unless otherwise specified in the Special provisions for the individual insurance or service components, the insurance applies worldwide or in Europe depending on the nature of the insurance or in compliance with the insurance policy details. ",4
16,3 Extension of the insurance cover ,"If the policyholder moves abroad during the contract term, the contract will lapse on the expiry date following the change of domicile. From the date of changing domicile, the insurance cover only applies for trips booked in Switzerland until the insurance expiry date. ",4
17,4 Non-insured events and benefits ,Costs related to kidnappings are not insured. ,4
18,5 Duties in the event of a claim ,The claims forms are available on our website: www.allianz-travel.ch/claims ,4
19,6 Breach of duties ,"If the entitled person is in breach of his/her obligations, Allianz Travel can withhold or reduce the benefits. ",4
20,7 Definitions ,"Electronic devices for mobile, network-independent data, language and picture communication and navigation, which are suitable for mobile use without causing any significant physical exertion due to their size and weight. Mobile telephones, tablets and laptops count as mobile devices for the purposes of these GTC. ",5
21,8 Premium adjustment ,"Allianz Travel reserves the right to adjust premiums for annual insurance policies and is accordingly entitled to request an amendment of the insurance contract. In this case, Allianz Travel will inform the policyholder of the premium adjustment in writing at least 30 days before it comes into effect. The policyholder has the right to terminate the contract with effect from when the premium adjustment would apply. The policyholderâ€™s termination of cover is valid, provided it is received by Allianz Travel no later than the last day before the premium adjustment comes into force. ",5
22,9 Multiple insurance and claims against third parties ,"If the insured or entitled person has been compensated by a liable third party or the third party's insurer, any compensation due under this contract is rendered void. If a claim is made against Allianz Travel instead of the liable party, the insured or entitled person must concede his/her liability claims up to the extent of the compensation received from Allianz Travel. ",5
23,10 Limitation period ,Claims under the insurance contract expire five years after the occurrence of the event giving rise to the obligation to pay benefits. ,5
24,11 Place of jurisdiction and applicable law ,The Swiss Insurance Contract Act (ICA) applies in addition to these provisions. ,5
25,12 Hierarchy of regulations ,"In the event of linguistic differences between the French, Italian, English and German GTC, the German version will always apply where any doubt exists. ",5
26,13 Contact address ,C Travel assistance ,7
27,1 Insured amount ,The insured amount can be seen in the table of benefits. ,7
28,2 Insured events ,"Impact of document theft If theft of personal documents (passport, ID card, travel tickets or accommodation vouchers) makes it temporarily impossible for the insured person to continue the trip or make the return journey to Switzerland. ",7
29,3 Insured benefits ,"Cost of meals, lost working time and other financial loss. ",8
30,,,8
