,Question,Answer,Page
0,General terms and conditions of insurance of Allianz Travel ,The following customer information provides a concise overview of the insurer's identity and the material content of the insurance contract (Article 3 of the Swiss Insurance Contract Act â€“ ICA). Only the insurance policy and General terms and conditions of insurance (GTC) are authoritative for the content and scope of the rights and obligations derived from the insurance contract. ,1
1,Who is the insurer? ,"The insurer is AWP P&C S.A., Saint-Ouen (Paris), Wallisellen Branch (Switzerland), hereinafter referred to as Allianz Travel. The company headquarters are at Richtiplatz 1, 8304 Wallisellen. The insurer for the legal protection insurance components is CAP Legal Protection Insurance Company Ltd. based at Neue Winterthurerstrasse 88, 8304 Wallisellen. ",1
2,Who is the policyholder? ,The policyholder is the person designated as such in the insurance policy. ,1
3,What risks are insured and what is the scope of the cover? ,Assumption of legal protection exclusively in conjunction with trips undertaken outside Switzerland and the Principality of Liechtenstein. ,1
4,Which persons are insured? ,"In the case of insurance policies with a term of one year (annual insurance policies), the insurance policy states whether the insurance cover applies to the policyholder alone (single person) or to the policyholder and the persons living with him/her in the same household as well as their minor children not living in the same household (family insurance policy), provided these are accompanying an insured person and their permanent place of residence is in Switzerland. The insured persons are in each case essentially set out in the insurance policy and the General terms and conditions of insurance (GTC). ",1
5,Temporal and geographical scope of the insurance cover ,"The insurance cover basically applies worldwide during the insurance period. Local restrictions in the special provisions for the individual insurance components as well as economic or trade sanctions or embargoes of the United Nations, the European Union, the United States of America or Switzerland that contradict the insurance cover remain reserved. ",1
6,What are the main exclusions? ,"In particular, there is no entitlement to benefits if the Allianz Travel emergency call centre has not agreed to the benefits in advance or the roadside assistance or towing has not been organised by the Allianz Travel emergency call centre. ",2
7,Which obligations are incumbent on the policyholder and insured persons? ,"Any need for legal assistance must be reported as quickly as possible to CAP Legal Protection, Major Customer Support, P.O. Box, 8010 Zurich, telephone +41 58 358 09 09, fax +41 58 358 09 10, capoffice@cap.ch, reference Z75.1.685.643. ",2
8,How much is the premium? ,The amount of the premium depends on the risks insured and stipulated level of cover. The amount of the premium is defined with the application and results from the insurance policy. ,3
9,When does the insurance begin and end? ,termination by the insurer in the event of insurance fraud. This list contains only the main causes for termination. There are others set out in the General terms and conditions of insurance and the ICA. ,3
10,Right of revocation ,"The policyholder may revoke the contract within a period of 14 days from the application to conclude the contract or the declaration of acceptance thereof by notifying the insurer in text form (e.g. letter, e-mail). The right of revocation is excluded for provisional cover commitments and contracts with a duration of less than one month. ",3
11,How does Allianz Travel treat data? ,Allianz Travel stores data electronically or physically in compliance with the legal provisions. ,3
12,"Persons whose data is processed by Allianz Travel have the right, in accordance with the Data Protection Act (DPA), to ask what data concerning them Allianz Travel actually processes; they may also request the rectification of incorrect data. ",Richtiplatz 1 P.O. Box ,4
13,8304 Wallisellen ,The Common provisions to all insurance components only apply insofar as the Special provisions for the individual insurance or service components contain no provisions to the contrary. ,5
