,Question,Answer,Page
0,General terms and conditions of insurance of Allianz Travel ,The following customer information provides a concise overview of the insurer's identity and the material content of the insurance contract (Article 3 of the Swiss Insurance Contract Act â€“ ICA). Only the insurance policy and General terms and conditions of insurance (GTC) are authoritative for the content and scope of the rights and obligations derived from the insurance contract. ,1
1,Who is the insurer? ,"The insurer is AWP P&C S.A., Saint-Ouen (Paris), Wallisellen Branch (Switzerland), hereinafter referred to as Allianz Travel. The company headquarters are at Richtiplatz 1, 8304 Wallisellen. The insurer for the legal protection insurance components is CAP Legal Protection Insurance Company Ltd. based at Neue Winterthurerstrasse 88, 8304 Wallisellen. ",1
2,Who is the policyholder? ,The policyholder is the person designated as such in the insurance policy. ,1
3,What risks are insured and what is the scope of the cover? ,Assumption of legal protection exclusively in conjunction with trips undertaken outside Switzerland and the Principality of Liechtenstein. ,1
4,Which persons are insured? ,"In the case of insurance policies with a duration of less than one year (short-term insurances), the persons listed in the insurance policy are insured. The insured persons are in each case essentially set out in the insurance policy and the General terms and conditions of insurance (GTC). ",1
5,Temporal and geographical scope of the insurance cover ,"The insurance cover basically applies worldwide during the insurance period. Local restrictions in the special provisions for the individual insurance components as well as economic or trade sanctions or embargoes of the United Nations, the European Union, the United States of America or Switzerland that contradict the insurance cover remain reserved. ",1
6,What are the main exclusions? ,assistance or towing has not been organised by the Allianz Travel emergency call centre. ,2
7,Which obligations are incumbent on the policyholder and insured persons? ,"Any need for legal assistance must be reported as quickly as possible to CAP Legal Protection, Major Customer Support, P.O. Box, 8010 Zurich, telephone +41 58 358 09 09, fax +41 58 358 09 10, capoffice@cap.ch, reference Z75.1.685.643. ",2
8,How much is the premium? ,The amount of the premium depends on the risks insured and stipulated level of cover. The amount of the premium is defined with the application and results from the insurance policy. ,2
9,When does the insurance begin and end? ,The beginning and end of the insurance policies with a duration of less than one year (short-term insurances) are defined in the application and detailed in the insurance policy. ,2
10,Right of revocation ,"The policyholder may revoke the contract within a period of 14 days from the application to conclude the contract or the declaration of acceptance thereof by notifying the insurer in text form (e.g. letter, e-mail). The right of revocation is excluded for provisional cover commitments and contracts with a duration of less than one month. ",2
11,How does Allianz Travel treat data? ,,2
12,"When processing personal data essential to the transaction of insurance business, Allianz Travel observes the Swiss Data Protection Act (FADP). If necessary, Allianz Travel will use the claims form to obtain the necessary approval from the insured person to process the data. The personal data processed by Allianz Travel includes data relating to the conclusion of the contract and the policy/claims handling. The information processed mainly comprises the policyholder's or insured personâ€™s details from the insurance application and the claims statement. In the interests of all policyholders, data may also be exchanged with previous insurers and reinsurers within and outside Switzerland. Allianz Travel also processes personal data in connection with product enhancements as well as for its own marketing purposes. ",Table of benefits ,3
