,Question,Answer,Page
0,General terms and conditions of insurance of Allianz Travel ,The following customer information provides a concise overview of the insurer's identity and the material content of the insurance contract (Article 3 of the Swiss Insurance Contract Act â€“ ICA). Only the insurance policy and General Terms and Conditions of Insurance (GTC) are authoritative for the content and scope of the rights and obligations derived from the insurance contract. ,1
1,Who is the insurer? ,"The insurer is AWP P&C S.A., Saint-Ouen (Paris), Wallisellen Branch (Switzerland), hereinafter called Allianz Travel. The company headquarters are at Richtiplatz 1, 8304 Wallisellen. ",1
2,Who is the policyholder? ,The policyholder is the person designated as such in the insurance policy. ,1
3,What risks are insured and what is the scope of the cover? ,"Assumption of the cancellation charges owed by the insured person, if this person is unable to take up the booking (holiday apartment, hotel, course, seminar) due to an event that is listed as insured in the GTC and cancels the booking. ",1
4,Which persons are insured? ,The insured persons are in each case essentially set out in the insurance policy and the General Terms and Conditions of Insurance (GTC). ,1
5,Temporal and local scope of the insurance cover ,"The insurance cover basically applies worldwide during the insurance period. Local restrictions in the special provisions for the individual insurance components (e.g. breakdown and accident assistance applies only in Europe) as well as economic or trade sanctions or embargoes of the United Nations, the European Union, the United States of America or Switzerland that contradict the insurance cover remain reserved. ",1
6,What are the main exclusions? ,"In respect of cover for cancellation charges / cancellation charges for accommodation and further training, in particular, no insurance cover exists in the event of ""poor healing"", inter alia i.e. for illnesses or the consequences of an accident, of an operation or of a medical intervention that already existed at the time of the booking of the journey or the signing of the insurance contract, and which had not fully healed by the time of the date of travel; the same applies to travel cancellations issued by the travel agency, official decrees, illnesses/injuries not immediately ascertained by a physician at the time of their occurrence, or to psychological responses to potential hazards, such as fear of unrest, terrorist attacks, natural catastrophes or aviophobia (fear of flying). ",1
7,Which obligations are incumbent on the policyholder and insured persons? ,"If the entitled person is in breach of his/her duties, Allianz Travel can withhold or reduce benefit payments. ",1
8,How much is the premium? ,The amount of the premium depends on the risks insured and stipulated level of cover. The amount of the premium is defined with the application and results from the insurance policy. ,1
9,When does the insurance begin and end? ,Termination by the insurer in the event of insurance fraud. This list contains only the main causes for termination. There are others set out in the General Terms and Conditions of Insurance and the ICA. ,1
10,Right of revocation ,"The policyholder may revoke the contract within a period of 14 days from the application to conclude the contract or the declaration of acceptance thereof by notifying the insurer in text form (e.g. letter, e-mail). The right of revocation is excluded for provisional cover commitments and contracts with a duration of less than one month. ",2
11,How does Allianz Travel handle data? ,General Terms and Conditions of Insurance (GTC) ,3
12,"The insurance cover provided by AWP P&C S.A. Saint-Ouen (Paris), Wallisellen branch (Switzerland), hereinafter Allianz Travel is defined in the insurance policy and the following General Terms and Conditions of Insurance (GTC). ",The provisions applicable to all insurance components only apply insofar as the special provisions relating to the individual insurance components contain no provisions to the contrary. ,3
13,1. Insured persons ,"With the exception of annual insurance, persons living abroad as defined under Section I 1.1 are insured, provided they booked their journey in Switzerland. ",3
14,2. Geographical application ,"Unless otherwise specified in the special provisions relating to the individual insurance components, the insurance applies worldwide or in Europe depending on the nature of the insurance or in compliance with the insurance policy details. ",3
15,3. Extension of the insurance cover (annual insurance) ,"If the policyholder moves abroad during the contract term, the contract will lapse on the expiry date following the change of domicile. From the date of changing domicile, the insurance cover only applies for trips booked in Switzerland until the insurance expiry date. ",3
