,Question,Answer,Page
0,General terms and conditions of insurance of Allianz Travel ,The following customer information provides a concise overview of the insurer's identity and the material content of the insurance contract (Article 3 of the Swiss Insurance Contract Act â€“ ICA). Only the insurance policy and General terms and conditions of insurance (GTC) are authoritative for the content and scope of the rights and obligations derived from the insurance contract. ,1
1,Who is the insurer? ,"The insurer is AWP P&C S.A., Saint-Ouen (Paris), Wallisellen Branch (Switzerland), hereinafter referred to as Allianz Travel. The company headquarters are at Richtiplatz 1, 8304 Wallisellen. ",1
2,Who is the policyholder? ,The policyholder is the person designated as such in the insurance policy. ,1
3,What risks are insured and what is the scope of the cover? ,"Assumption of the additional costs incurred for a hotel, rebooking or telephone calls if a connecting flight is missed due to a delay of at least three hours for which the first airline is solely responsible. ",1
4,Which persons are insured? ,"In the case of insurance policies with a duration of less than one year (short-term insurances), the persons listed in the insurance policy are insured. The insured persons are in each case essentially set out in the insurance policy and the General terms and conditions of insurance (GTC). ",1
5,Temporal and geographical scope of the insurance cover ,"The insurance cover basically applies worldwide during the insurance period. Local restrictions in the special provisions for the individual insurance components as well as economic or trade sanctions or embargoes of the United Nations, the European Union, the United States of America or Switzerland that contradict the insurance cover remain reserved. ",1
6,What are the main exclusions? ,There is no entitlement to benefits if the insured person is actually responsible for the delay. ,2
7,Which obligations are incumbent on the policyholder and insured persons? ,"Once the insured event has occurred, Allianz Travel must be notified of the claim event immediately in writing and sent the required documents listed in the special provisions for the individual insurance components (for contact address, see GTC section I 11). ",2
8,How much is the premium? ,The amount of the premium depends on the risks insured and stipulated level of cover. The amount of the premium is defined with the application and results from the insurance policy. ,2
9,When does the insurance begin and end? ,The beginning and end of the insurance policies with a duration of less than one year (short-term insurances) are defined in the application and detailed in the insurance policy. ,2
10,Right of revocation ,"The policyholder may revoke the contract within a period of 14 days from the application to conclude the contract or the declaration of acceptance thereof by notifying the insurer in text form (e.g. letter, e-mail). The right of revocation is excluded for provisional cover commitments and contracts with a duration of less than one month. ",2
11,How does Allianz Travel treat data? ,Allianz Travel stores data electronically or physically in compliance with the legal provisions. ,2
12,"Persons whose data is processed by Allianz Travel have the right, in accordance with the Data Protection Act (DPA), to ask what data concerning them Allianz Travel actually processes; they may also request the rectification of incorrect data. ",Richtiplatz 1 P.O. Box ,3
13,8304 Wallisellen ,The Common provisions to all insurance components only apply insofar as the Special provisions for to the individual insurance or service components contain no provisions to the contrary. ,4
14,1 Insured persons ,"Persons with permanent residence in Switzerland are insured under section I 1.1 as well as persons living abroad, provided they booked their journey in Switzerland. ",4
15,2 Geographical scope ,"Unless otherwise specified in the Special provisions for the individual insurance or service components, the insurance applies worldwide or in Europe depending on the nature of the insurance or in compliance with the insurance policy details. ",4
16,3 Non-insured events and benefits ,Costs related to kidnappings are not insured. ,4
17,4 Duties in the event of a claim ,The claims forms are available on our website: www.allianz-travel.ch/claims ,4
18,5 Breach of duties ,"If the entitled person is in breach of his/her obligations, Allianz Travel can withhold or reduce the benefits. ",4
19,6 Definitions ,"Electronic devices for mobile, network-independent data, language and picture communication and navigation, which are suitable for mobile use without causing any significant physical exertion due to their size and weight. Mobile telephones, tablets and laptops count as mobile devices for the purposes of these GTC. ",5
20,7 Multiple insurance and claims against third parties ,"If the insured or entitled person has been compensated by a liable third party or the third party's insurer, any compensation due under this contract is rendered void. If a claim is made against Allianz Travel instead of the liable party, the insured or entitled person must concede his/her liability claims up to the extent of the compensation received from Allianz Travel. ",5
21,8 Limitation period ,Claims under the insurance contract expire five years after the occurrence of the event giving rise to the obligation to pay benefits. ,5
22,9 Place of jurisdiction and applicable law ,The Swiss Insurance Contract Act (ICA) applies in addition to these provisions. ,5
23,10 Hierarchy of regulations ,"In the event of linguistic differences between the French, Italian, English and German GTC, the German version will always apply where any doubt exists. ",5
24,,,5
