,Question,Answer,Page
0,General terms and conditions of insurance of Allianz Travel ,The following customer information provides a concise overview of the insurer's identity and the material content of the insurance contract (Article 3 of the Swiss Insurance Contract Act â€“ ICA). Only the insurance policy and General terms and conditions of insurance (GTC) are authoritative for the content and scope of the rights and obligations derived from the insurance contract. ,1
0,The general terms and conditions of insurance of the company.,The material content of the insurance contract and the insurer's identity can be found in the following customer information.,1
0,The general terms and conditions of insurance of Allianz Travel are here.,The material content of the insurance contract and the insurer's identity are provided in the following customer information.,1
1,Who is the insurer? ,"The insurer is AWP P&C S.A., Saint-Ouen (Paris), Wallisellen Branch (Switzerland), hereinafter referred to as Allianz Travel. The company headquarters are at Richtiplatz 1, 8304 Wallisellen. ",1
1,Who is the insurer?,"The company is called AWP P&C S.A., Saint-Ouen (Paris), and is referred to as Allianz Travel.",1
1,The insurer is not known.,"The company is called AWP P&C S.A., Saint-Ouen (Paris), and is referred to as the insurer.",1
2,Who is the policyholder? ,The policyholder is the person designated as such in the insurance policy. ,1
2,Who is the insured?,The person is designated as the insurance policy's policyholder.,1
2,The person is the insurer.,"The person is designated as the insurance policy's ""policyholder"".",1
3,What risks are insured and what is the scope of the cover? ,"Assumption of the additional costs incurred for a hotel, rebooking or telephone calls if a connecting flight is missed due to a delay of at least three hours for which the first airline is solely responsible. ",1
3,What are the risks that are insured?,"The first airline is solely responsible for the additional costs incurred for a hotel, rebooking or telephone calls if a connecting flight is missed due to a delay of at least three hours.",1
3,What are the risks that are insured and what is the scope of the cover?,"The first airline is solely responsible for the additional costs incurred for a hotel, rebooking or telephone calls if a connecting flight is missed because of a delay of at least three hours.",1
4,Which persons are insured? ,"In the case of insurance policies with a term of one year (annual insurance policies), the insurance policy states whether the insurance cover applies to the policyholder alone (single person) or to the policyholder and the persons living with him/her in the same household as well as their minor children not living in the same household (family insurance policy), provided these are accompanying an insured person and their permanent place of residence is in Switzerland. The insured persons are in each case essentially set out in the insurance policy and the General terms and conditions of insurance (GTC). ",1
4,Which people are insured?,"In the case of insurance policies with a term of one year, the insurance policy states whether the insurance cover applies to the single person or to the people living with him/her in the same household as well as their minor children not living in.",1
4,Which people have insurance?,"In the case of insurance policies with a term of one year, the insurance policy states whether the insurance cover applies to the single person or to the people living with him/her in the same household as well as their minor children not living in",1
5,Temporal and geographical scope of the insurance cover ,"The insurance cover basically applies worldwide during the insurance period. Local restrictions in the special provisions for the individual insurance components as well as economic or trade sanctions or embargoes of the United Nations, the European Union, the United States of America or Switzerland that contradict the insurance cover remain reserved. ",1
5,There is a temporal and geographical scope to the insurance cover.,"Local restrictions on the individual insurance components as well as economic or trade sanctions or embargoes of the United Nations, the European Union, the United States of America or Switzerland that contradict the insurance cover remain reserved.",1
5,The temporal and geographical scope of the insurance cover.,"Local restrictions on the individual insurance components as well as economic or trade sanctions or embargoes of the United Nations, the European Union, the United States of America or Switzerland that are contrary to the insurance cover remain reserved.",1
6,What are the main exclusions? ,There is no entitlement to benefits if the insured person is actually responsible for the delay. ,2
6,What are the main exclusions?,"If the insured person is responsible for the delay, there is no entitlement to benefits.",2
6,What are the main reasons for exclusions?,"If the insured person is responsible for the delay, then there is no entitlement to benefits.",2
7,Which obligations are incumbent on the policyholder and insured persons? ,"Once the insured event has occurred, Allianz Travel must be notified of the claim event immediately in writing and sent the required documents listed in the special provisions for the individual insurance components (for contact address, see GTC section I 13). ",2
7,Which obligations are incumbent on the insured?,"Once the insured event has occurred, Allianz Travel must be notified of the claim event immediately in writing and send the required documents listed in the special provisions for the individual insurance components.",2
7,Which obligations are incumbent on the insured and the policyholders?,"Once the insured event has occurred, Allianz Travel must be notified of the claim event immediately in writing and send the required documents for the individual insurance components.",2
8,How much is the premium? ,The amount of the premium depends on the risks insured and stipulated level of cover. The amount of the premium is defined with the application and results from the insurance policy. ,2
8,How much is it?,The amount of the premium depends on the risks insured and the level of cover.,2
8,How much is the premium?,The amount of the premium depends on the risks insured.,2
9,When does the insurance begin and end? ,termination by the insurer in the event of insurance fraud. This list contains only the main causes for termination. There are others set out in the General terms and conditions of insurance and the ICA. ,2
9,When does the insurance end?,The main causes for insurance fraud are listed in this list.,2
9,The insurance begins and ends.,The main causes for insurance fraud are listed in the list.,2
10,Right of revocation ,"The policyholder may revoke the contract within a period of 14 days from the application to conclude the contract or the declaration of acceptance thereof by notifying the insurer in text form (e.g. letter, e-mail). The right of revocation is excluded for provisional cover commitments and contracts with a duration of less than one month. ",2
10,Right of revocation.,The right of revocation is not available for contracts with a duration of less than a year.,2
10,The right of revocation.,The right of revocation is excluded for contracts with a duration of less than a year.,2
11,How does Allianz Travel treat data? ,"In order to offer value-for-money comprehensive insurance cover, some of the benefits offered by Allianz Travel are provided by legally independent companies both domestically and abroad. These may be Allianz Group companies or cooperation partners. For the purposes of fulfilling its contractual obligations, Allianz Travel must exchange data both within and outside the group. Allianz Travel stores data electronically or physically in compliance with the ",2
11,How does Allianz Travel treat data?,"In order to offer value-for-money comprehensive insurance cover, some of the benefits are provided by legally independent companies both domestically and abroad.",2
11,How does the data of a travel company be treated?,"In order to offer value-for-money comprehensive insurance cover, some of the benefits are provided by legally independent companies.",2
12,"legal provisions. Persons whose data is processed by Allianz Travel have the right, in accordance with the Data Protection Act (DPA), to ask what data concerning them Allianz Travel actually processes; they may also request the rectification of incorrect data. ",Richtiplatz 1 P.O. Box ,3
12,The Data Protection Act (DPA) gives people who have their data processed by Allianz Travel the right to ask what data is actually used.,Richtiplatz 1 P.O. Box.,3
12,The Data Protection Act (DPA) gives people who have their data processed by Allianz Travel the right to ask what data they are actually getting.,Richtiplatz 1 P.O. Box,3
13,8304 Wallisellen ,A Cancellation costs ,5
13,Wallisellen,A cancellation costs.,5
13,Wallisellen 8 304,The cancellation costs are listed.,5
14,1 Insured amount ,With the annual insurance Secure Trip Budget the insured person retains an excess per loss event worth 20% of the contractually owed cancellation costs. ,5
14,The amount is insured.,The insured person retains an excess per loss event worth 20% of the contractually owed cancellation costs with the annual insurance.,5
14,The insured amount is 1,The insured person retains an excess per loss event worth 20% of the contractually owed cancellation costs.,5
15,2 Duration of cover ,"Insurance cover incepts on the date given in the insurance policy and ends with the start of the insured trip. The start of the trip is when the insured person enters the reserved means of transport or the reserved accommodation (hotel, holiday apartment etc.), if no means of transport was reserved. ",5
15,The cover has two different lengths.,The start of the trip is when the insured person enters the reserved means of transport or the reserved accommodations.,5
15,The cover has 2 different lengths.,The start of the trip is when the insured person enters the reserved means of transport or the reserved accommodation.,5
16,3 Insured events ,"If the insured person's passport or identity card is stolen just before the trip and, as a result, the insured person is unable to travel. Note: there are emergency passport offices at some airports. ",6
16,3 events are insured.,"If the insured person's passport or identity card is stolen just before the trip, the insured person is unable to travel.",6
16,3 insured events.,The insured person is unable to travel if their passport or identity card is stolen before they go.,6
17,4 Insured benefits ,Expenses incurred for disproportionate or recurrent handling charges or insurance premiums are not reimbursed. ,6
17,There are insured benefits.,Expenses incurred for excessive handling charges or insurance premiums are not reimbursed.,6
17,4 benefits are insured.,Expenses incurred for disproportionate handling charges are not reimbursed.,6
18,5 Non-insured events and benefits (in addition to section I 4) ,"Cancellation costs are not insured if the cancellation, depending on circumstances, arises from a psychological reaction to a health hazard, act of terror, aircraft accident or natural catastrophe or due to fear of civil unrest, acts of war, acts of terror or aviophobia (fear of flying). ",6
18,There are 5 non-insured events and benefits.,"If the cancellation is due to a fear of flying or a health hazard, the costs are not insured.",6
18,Non-insured events and benefits are included in section I 4.,"If the cancellation is due to a fear of flying, for example, or if it is due to a health hazard, it is not insured.",6
19,6 Duties in the event of a claim (in addition to section I 5) ,B Medical assistance ,6
19,In addition to section I 5 there are 6 duties in the event of a claim.,Medical assistance.,6
19,In addition to section I 5 there are duties in the event of a claim.,Medical help.,6
20,1 Insured amount ,The insured amount can be seen in the table of benefits. ,6
20,The amount is insured.,The table of benefits shows the insured amount.,6
20,The insured amount is 1,The table of benefits has the insured amount in it.,6
21,2 Insured events ,"If during the trip the insured person suffers a serious illness (including being diagnosed with an epidemic or a pandemic disease such as e. g. COVID-19), a serious accident, complications of pregnancy or a medically certified, unexpected worsening of a chronic illness. ",6
21,There are 2 insured events.,"If the insured person suffers a serious illness during the trip, they will be covered under the policy.",6
21,2 events are insured.,"If the insured person suffers a serious illness during the trip, they will be covered by the policy.",6
22,3 Insured benefits ,C Travel assistance ,7
22,There are 3 insured benefits.,Travel assistance.,7
22,3 benefits are insured.,Travel assistance,7
23,1 Insured amount ,The insured amount can be seen in the table of benefits. ,7
23,The amount is insured.,The table of benefits shows the insured amount.,7
23,The insured amount is 1,The table of benefits has the insured amount in it.,7
24,2 Insured events ,"If theft of personal documents (passport, ID card, travel tickets or accommodation vouchers) makes it temporarily impossible for the insured person to continue the trip or make the return journey to Switzerland. ",7
24,There are 2 insured events.,"If personal documents such aspassport, ID card, travel tickets or accommodation vouchers are stolen, it will be impossible for the insured person to continue the trip or return to Switzerland.",7
24,2 events are insured.,"If personal documents such aspassport, ID card, travel tickets, and accommodation vouchers are stolen, it will be impossible for the insured person to continue the trip or return to Switzerland.",7
25,3 Insured benefits ,"Cost of meals, lost working time and other financial loss. ",8
25,There are 3 insured benefits.,"The cost of meals, lost working time, and other financial losses.",8
25,3 benefits are insured.,"The cost of meals, lost working time, and other financial losses are included.",8
26,,,8
26,There is a,There is a,8
26,There is a person,There is a person,8
