,Question,Answer,Page
0,General terms and conditions of insurance of Allianz Travel ,The following customer information provides a concise overview of the insurer's identity and the material content of the insurance contract (Article 3 of the Swiss Insurance Contract Act â€“ ICA). Only the insurance policy and General terms and conditions of insurance (GTC) are authoritative for the content and scope of the rights and obligations derived from the insurance contract. ,1
0,The general terms and conditions of insurance of the company.,The material content of the insurance contract and the insurer's identity can be found in the following customer information.,1
0,The general terms and conditions of insurance of Allianz Travel are here.,The material content of the insurance contract and the insurer's identity are provided in the following customer information.,1
1,Who is the insurer? ,"The insurer is AWP P&C S.A., Saint-Ouen (Paris), Wallisellen Branch (Switzerland), hereinafter referred to as Allianz Travel. The company headquarters are at Richtiplatz 1, 8304 Wallisellen. ",1
1,Who is the insurer?,"The company is called AWP P&C S.A., Saint-Ouen (Paris), and is referred to as Allianz Travel.",1
1,The insurer is not known.,"The company is called AWP P&C S.A., Saint-Ouen (Paris), and is referred to as the insurer.",1
2,Who is the policyholder? ,The policyholder is the person designated as such in the insurance policy. ,1
2,Who is the insured?,The person is designated as the insurance policy's policyholder.,1
2,The person is the insurer.,"The person is designated as the insurance policy's ""policyholder"".",1
3,What risks are insured and what is the scope of the cover? ,"Assumption of the cancellation costs owed by the insured person in the event of cancellation of the booked trip as a result of a failure to move up a year, resitting of a failed examination or another event that is listed as insured in the GTC. In the event of unexpected cancellation during the stay abroad of study courses, work experience, research or seminars originally confirmed in writing or another event that is listed as insured in the GTC, the extra return journey will be organised and the related costs assumed instead of the benefits referred to above. This cover only applies to persons up to their 26th birthday. ",1
3,What are the risks that are insured?,"In the event of a failure to move up a year, resitting of a failed exam or another event that is listed as insured in the GTC, the cancellation costs will be assumed by the insured person.",1
3,What are the risks that are insured and what is the scope of the cover?,"In the event of a failure to move up a year, resitting of a failed examination or another event that is listed as insured in the GTC, the cancellation costs will be assumed by the insured person.",1
4,Which persons are insured? ,"In the case of insurance policies with a term of one year (annual insurance policies), the insurance policy states whether the insurance cover applies to the policyholder alone (single person) or to the policyholder and the persons living with him/her in the same household as well as their minor children not living in the same household (family insurance policy), provided these are accompanying an insured person and their permanent place of residence is in Switzerland. The insured persons are in each case essentially set out in the insurance policy and the General terms and conditions of insurance (GTC). ",1
4,Which people are insured?,"In the case of insurance policies with a term of one year, the insurance policy states whether the insurance cover applies to the single person or to the people living with him/her in the same household as well as their minor children not living in.",1
4,Which people have insurance?,"In the case of insurance policies with a term of one year, the insurance policy states whether the insurance cover applies to the single person or to the people living with him/her in the same household as well as their minor children not living in",1
5,Temporal and geographical scope of the insurance cover ,"The insurance cover basically applies worldwide during the insurance period. Local restrictions in the special provisions for the individual insurance components as well as economic or trade sanctions or embargoes of the United Nations, the European Union, the United States of America or Switzerland that contradict the insurance cover remain reserved. ",1
5,There is a temporal and geographical scope to the insurance cover.,"Local restrictions on the individual insurance components as well as economic or trade sanctions or embargoes of the United Nations, the European Union, the United States of America or Switzerland that contradict the insurance cover remain reserved.",1
5,The temporal and geographical scope of the insurance cover.,"Local restrictions on the individual insurance components as well as economic or trade sanctions or embargoes of the United Nations, the European Union, the United States of America or Switzerland that are contrary to the insurance cover remain reserved.",1
6,What are the main exclusions? ,There is no entitlement to benefits if the Allianz Travel emergency call centre has not agreed to the benefits in advance in the event of the trip being terminated. ,2
6,What are the main exclusions?,"If the trip is terminated, there is no entitlement to benefits because the emergency call centre has not agreed to the benefits in advance.",2
6,What are the main reasons for exclusions?,"If the trip is terminated, there is no entitlement to benefits because the emergency call centre has not agreed to them in advance.",2
7,Which obligations are incumbent on the policyholder and insured persons? ,"Termination of a trip: Once the insured event has occurred, the Allianz Travel emergency call centre must be notified immediately and its agreement obtained for any assistance measures or assumption of associated costs. The Allianz Travel emergency call centre is available around the clock: telephone +41 44 202 00 00, fax +41 44 283 33 33. ",2
7,Which obligations are incumbent on the insured?,The emergency call centre must be notified immediately if the trip is to be terminated.,2
7,Which obligations are incumbent on the insured and the policyholders?,"The emergency call centre must be notified immediately if the trip is to be terminated, as well as obtaining an agreement for any assistance measures.",2
8,How much is the premium? ,The amount of the premium depends on the risks insured and stipulated level of cover. The amount of the premium is defined with the application and results from the insurance policy. ,2
8,How much is it?,The amount of the premium depends on the risks insured and the level of cover.,2
8,How much is the premium?,The amount of the premium depends on the risks insured.,2
9,When does the insurance begin and end? ,This list contains only the main causes for termination. There are others set out in the General terms and conditions of insurance and the ICA. ,2
9,When does the insurance end?,There are other causes in the General terms and conditions of insurance and the ICA.,2
9,The insurance begins and ends.,There are other causes in the general terms and conditions of insurance and the ICA.,2
10,Right of revocation ,"The policyholder may revoke the contract within a period of 14 days from the application to conclude the contract or the declaration of acceptance thereof by notifying the insurer in text form (e.g. letter, e-mail). The right of revocation is excluded for provisional cover commitments and contracts with a duration of less than one month. ",2
10,Right of revocation.,The right of revocation is not available for contracts with a duration of less than a year.,2
10,The right of revocation.,The right of revocation is excluded for contracts with a duration of less than a year.,2
11,How does Allianz Travel treat data? ,Allianz Travel stores data electronically or physically in compliance with the legal provisions. ,2
11,How does Allianz Travel treat data?,The data is kept in compliance with the legal provisions.,2
11,How does the data of a travel company be treated?,The data is stored in compliance with the legal provisions.,2
12,"Persons whose data is processed by Allianz Travel have the right, in accordance with the Data Protection Act (DPA), to ask what data concerning them Allianz Travel actually processes; they may also request the rectification of incorrect data. ",Richtiplatz 1 P.O. Box ,3
12,The Data Protection Act gives people who have their data processed by Allianz Travel the right to ask what data is actually used and to request the deletion of incorrect data.,Richtiplatz 1 P.O. Box.,3
12,The Data Protection Act gives people who have their data processed by Allianz Travel the right to ask what data is actually used.,Richtiplatz 1 P.O. Box,3
13,8304 Wallisellen ,The Common provisions to all insurance components only apply insofar as the Special provisions for the individual insurance or service components contain no provisions to the contrary. ,4
13,Wallisellen,Special provisions for the individual insurance or service components are not included in the Common provisions.,4
13,Wallisellen 8 304,Special provisions for the individual insurance or service components are not included in the Common provisions for all insurance components.,4
14,1 Insured persons ,Persons with permanent residence in Switzerland are insured under section I 1.1. ,4
14,1 people are insured.,Section I 1.1 covers people with permanent residence in Switzerland.,4
14,1 insured people.,Section I 1.1 covers people who are permanent residents of Switzerland.,4
15,2 Geographical scope ,"Unless otherwise specified in the Special provisions for the individual insurance or service components, the insurance applies worldwide or in Europe depending on the nature of the insurance or in compliance with the insurance policy details. ",4
15,There is a geographical scope.,"Unless otherwise specified in the Special provisions for the individual insurance or service components, the insurance applies worldwide or in Europe depending on the nature of the insurance or in compliance with the insurance policy details.",4
15,There is a scope for 2 geographical areas.,"Unless otherwise specified in the Special provisions for the individual insurance or service components, the insurance applies worldwide or in Europe, depending on the nature of the insurance or in compliance with the insurance policy details.",4
16,3 Extension of the insurance cover ,"If the policyholder moves abroad during the contract term, the contract will lapse on the expiry date following the change of domicile. From the date of changing domicile, the insurance cover only applies for trips booked in Switzerland until the insurance expiry date. ",4
16,The insurance cover can be extended.,The insurance cover only applies for trips booked in Switzerland until the insurance expires.,4
16,The insurance cover can be extended 3 times.,The insurance cover only applies to trips booked in Switzerland until the insurance expires.,4
17,4 Non-insured events and benefits ,Costs related to kidnappings are not insured. ,4
17,There are 4 non-insured events.,Kidnappings are not insured.,4
17,There are 4 non-insured events and benefits.,Kidnappings are not covered by insurance.,4
18,5 Duties in the event of a claim ,The claims forms are available on our website: www.allianz-travel.ch/claims ,4
18,"In the event of a claim, there are 5 duties.",The forms are available on the website.,4
18,There are 5 duties in the event of a claim.,The forms are available on our website.,4
19,6 Breach of duties ,"If the entitled person is in breach of his/her obligations, Allianz Travel can withhold or reduce the benefits. ",4
19,There was a violation of duties.,"If the person is in violation of his/her obligations, the benefits can be cut off.",4
19,There was a 6 breech of duties.,"If the person is in violation of his/her obligations, the benefits can be reduced or even removed.",4
20,7 Definitions ,"Electronic devices for mobile, network-independent data, language and picture communication and navigation, which are suitable for mobile use without causing any significant physical exertion due to their size and weight. Mobile telephones, tablets and laptops count as mobile devices for the purposes of these GTC. ",5
20,There are 7 definitions.,"Mobile phones, tablets and laptops are considered mobile devices for the purposes of these GTC.",5
20,There are seven definitions.,"Mobile phones, tablets, and laptops are considered mobile devices for the purposes of these GTC.",5
21,8 Premium adjustment ,"Allianz Travel reserves the right to adjust premiums for annual insurance policies and is accordingly entitled to request an amendment of the insurance contract. In this case, Allianz Travel will inform the policyholder of the premium adjustment in writing at least 30 days before it comes into effect. The policyholder has the right to terminate the contract with effect from when the premium adjustment would apply. The policyholderâ€™s termination of cover is valid, provided it is received by Allianz Travel no later than the last day before the premium adjustment comes into force. ",5
21,Premium adjustment,"In this case, the insurer will inform the policy holder of the premium adjustment in writing at least 30 days before it takes effect.",5
21,Premium adjustment.,"In this case, the insurer will inform the policy holder in writing at least 30 days before the premium adjustment takes effect.",5
22,9 Multiple insurance and claims against third parties ,"If the insured or entitled person has been compensated by a liable third party or the third party's insurer, any compensation due under this contract is rendered void. If a claim is made against Allianz Travel instead of the liable party, the insured or entitled person must concede his/her liability claims up to the extent of the compensation received from Allianz Travel. ",5
22,There are multiple insurance and claims against third parties.,"If a claim is made against a third party other than the liable party, the insured or entitled person must concede his/her liability claims up.",5
22,There are multiple insurance claims against third parties.,"If a claim is made against a third party other than the liable party, the insured or entitled person must concede his/her liability claims.",5
23,10 Limitation period ,Claims under the insurance contract expire five years after the occurrence of the event giving rise to the obligation to pay benefits. ,5
23,The period is 10 years.,"Five years after the occurrence of the event, the obligation to pay benefits is no longer valid.",5
23,The period is 10.,"Five years after the occurrence of the event, the obligation to pay benefits is due.",5
24,11 Place of jurisdiction and applicable law ,The Swiss Insurance Contract Act (ICA) applies in addition to these provisions. ,5
24,The place of jurisdiction and applicable law are listed.,The Swiss Insurance Contract Act applies to these provisions.,5
24,The place of jurisdiction is related to the law.,The Swiss Insurance Contract Act is applicable to these provisions.,5
25,12 Hierarchy of regulations ,"In the event of linguistic differences between the French, Italian, English and German GTC, the German version will always apply where any doubt exists. ",5
25,The hierarchy of regulations.,The German version of the GTC will always apply where there is doubt about the language.,5
25,There are a number of regulations.,The German version of the GTC will always apply if there is a doubt about the language.,5
26,13 Contact address ,C Travel assistance ,7
26,The contact address is 13,Travel assistance.,7
26,The address is 13,Travel assistance,7
27,1 Insured amount ,The insured amount can be seen in the table of benefits. ,7
27,The amount is insured.,The table of benefits shows the insured amount.,7
27,The insured amount is 1,The table of benefits has the insured amount in it.,7
28,2 Insured events ,"Impact of document theft If theft of personal documents (passport, ID card, travel tickets or accommodation vouchers) makes it temporarily impossible for the insured person to continue the trip or make the return journey to Switzerland. ",7
28,There are 2 insured events.,"If personal documents such aspassport, ID card, travel tickets or accommodation vouchers are stolen, it can make it difficult for the insured person to continue the trip or return to Switzerland.",7
28,2 events are insured.,"If personal documents such aspassport, ID card, travel tickets, or accommodation vouchers are stolen, it can make it difficult for the insured person to continue the trip or return to Switzerland.",7
29,3 Insured benefits ,"Cost of meals, lost working time and other financial loss. ",8
29,There are 3 insured benefits.,"The cost of meals, lost working time, and other financial losses.",8
29,3 benefits are insured.,"The cost of meals, lost working time, and other financial losses are included.",8
30,,,8
30,There is a,There is a,8
30,There is a person,There is a person,8
