,Question,Answer,Page
0,General terms and conditions of insurance of Allianz Travel ,The following customer information provides a concise overview of the insurer's identity and the material content of the insurance contract (Article 3 of the Swiss Insurance Contract Act â€“ ICA). Only the insurance policy and General terms and conditions of insurance (GTC) are authoritative for the content and scope of the rights and obligations derived from the insurance contract. ,1
0,The general terms and conditions of insurance of the company.,The material content of the insurance contract and the insurer's identity can be found in the following customer information.,1
0,The general terms and conditions of insurance of Allianz Travel are here.,The material content of the insurance contract and the insurer's identity are provided in the following customer information.,1
1,Who is the insurer? ,"The insurer is AWP P&C S.A., Saint-Ouen (Paris), Wallisellen Branch (Switzerland), hereinafter referred to as Allianz Travel. The company headquarters are at Richtiplatz 1, 8304 Wallisellen. The insurer for the legal protection insurance components is CAP Legal Protection Insurance Company Ltd. based at Neue Winterthurerstrasse 88, 8304 Wallisellen. ",1
1,Who is the insurer?,"The company headquarters are in Richtiplatz 1, 8304 Wallisellen.",1
1,The insurer is not known.,"The company headquarters are in Richtiplatz 1, 8 304 Wallisellen.",1
2,Who is the policyholder? ,The policyholder is the person designated as such in the insurance policy. ,1
2,Who is the insured?,The person is designated as the insurance policy's policyholder.,1
2,The person is the insurer.,"The person is designated as the insurance policy's ""policyholder"".",1
3,What risks are insured and what is the scope of the cover? ,Assumption of legal protection exclusively in conjunction with trips undertaken outside Switzerland and the Principality of Liechtenstein. ,1
3,What are the risks that are insured?,Trips undertaken outside Switzerland and the Principality of Liechtenstein are assumed of legal protection.,1
3,What are the risks that are insured and what is the scope of the cover?,Trips undertaken outside of Switzerland and the Principality of Liechtenstein are assumed of legal protection.,1
4,Which persons are insured? ,"In the case of insurance policies with a term of one year (annual insurance policies), the insurance policy states whether the insurance cover applies to the policyholder alone (single person) or to the policyholder and the persons living with him/her in the same household as well as their minor children not living in the same household (family insurance policy), provided these are accompanying an insured person and their permanent place of residence is in Switzerland. The insured persons are in each case essentially set out in the insurance policy and the General terms and conditions of insurance (GTC). ",1
4,Which people are insured?,"In the case of insurance policies with a term of one year, the insurance policy states whether the insurance cover applies to the single person or to the people living with him/her in the same household as well as their minor children not living in.",1
4,Which people have insurance?,"In the case of insurance policies with a term of one year, the insurance policy states whether the insurance cover applies to the single person or to the people living with him/her in the same household as well as their minor children not living in",1
5,Temporal and geographical scope of the insurance cover ,"The insurance cover basically applies worldwide during the insurance period. Local restrictions in the special provisions for the individual insurance components as well as economic or trade sanctions or embargoes of the United Nations, the European Union, the United States of America or Switzerland that contradict the insurance cover remain reserved. ",1
5,There is a temporal and geographical scope to the insurance cover.,"Local restrictions on the individual insurance components as well as economic or trade sanctions or embargoes of the United Nations, the European Union, the United States of America or Switzerland that contradict the insurance cover remain reserved.",1
5,The temporal and geographical scope of the insurance cover.,"Local restrictions on the individual insurance components as well as economic or trade sanctions or embargoes of the United Nations, the European Union, the United States of America or Switzerland that are contrary to the insurance cover remain reserved.",1
6,What are the main exclusions? ,"In particular, there is no entitlement to benefits if the Allianz Travel emergency call centre has not agreed to the benefits in advance or the roadside assistance or towing has not been organised by the Allianz Travel emergency call centre. ",2
6,What are the main exclusions?,There is no entitlement to benefits if the roadside assistance or towing has not been organised by the emergency call centre.,2
6,What are the main reasons for exclusions?,There is no entitlement to benefits if the roadside assistance or towing has not been organised by the emergency call centre of the company.,2
7,Which obligations are incumbent on the policyholder and insured persons? ,"Any need for legal assistance must be reported as quickly as possible to CAP Legal Protection, Major Customer Support, P.O. Box, 8010 Zurich, telephone +41 58 358 09 09, fax +41 58 358 09 10, capoffice@cap.ch, reference Z75.1.685.643. ",2
7,Which obligations are incumbent on the insured?,"Any need for legal assistance must be reported as soon as possible to CAP Legal Protection, Major Customer Support.",2
7,Which obligations are incumbent on the insured and the policyholders?,Any need for legal assistance must be reported as soon as possible to CAP Legal Protection.,2
8,How much is the premium? ,The amount of the premium depends on the risks insured and stipulated level of cover. The amount of the premium is defined with the application and results from the insurance policy. ,2
8,How much is it?,The amount of the premium depends on the risks insured and the level of cover.,2
8,How much is the premium?,The amount of the premium depends on the risks insured.,2
9,When does the insurance begin and end? ,This list contains only the main causes for termination. There are others set out in the General terms and conditions of insurance and the ICA. ,3
9,When does the insurance end?,There are other causes in the General terms and conditions of insurance and the ICA.,3
9,The insurance begins and ends.,There are other causes in the general terms and conditions of insurance and the ICA.,3
10,Right of revocation ,"The policyholder may revoke the contract within a period of 14 days from the application to conclude the contract or the declaration of acceptance thereof by notifying the insurer in text form (e.g. letter, e-mail). The right of revocation is excluded for provisional cover commitments and contracts with a duration of less than one month. ",3
10,Right of revocation.,The right of revocation is not available for contracts with a duration of less than a year.,3
10,The right of revocation.,The right of revocation is excluded for contracts with a duration of less than a year.,3
11,How does Allianz Travel treat data? ,Allianz Travel stores data electronically or physically in compliance with the legal provisions. ,3
11,How does Allianz Travel treat data?,The data is kept in compliance with the legal provisions.,3
11,How does the data of a travel company be treated?,The data is stored in compliance with the legal provisions.,3
12,"Persons whose data is processed by Allianz Travel have the right, in accordance with the Data Protection Act (DPA), to ask what data concerning them Allianz Travel actually processes; they may also request the rectification of incorrect data. ",Richtiplatz 1 P.O. Box ,4
12,The Data Protection Act gives people who have their data processed by Allianz Travel the right to ask what data is actually used and to request the deletion of incorrect data.,Richtiplatz 1 P.O. Box.,4
12,The Data Protection Act gives people who have their data processed by Allianz Travel the right to ask what data is actually used.,Richtiplatz 1 P.O. Box,4
13,CH-8304 Wallisellen ,The Common provisions to all insurance components only apply insofar as the Special provisions for the individual insurance or service components contain no provisions to the contrary. ,5
13,CH-8304 is named after Wallisellen.,Special provisions for the individual insurance or service components are not included in the Common provisions.,5
13,CH-8304 is from Wallisellen.,Special provisions for the individual insurance or service components are not included in the Common provisions for all insurance components.,5
14,1 Insured persons ,Persons with permanent residence in Switzerland are insured under section I 1.1. ,5
14,1 people are insured.,Section I 1.1 covers people with permanent residence in Switzerland.,5
14,1 insured people.,Section I 1.1 covers people who are permanent residents of Switzerland.,5
15,2 Geographical scope ,"Unless otherwise specified in the Special provisions for the individual insurance or service components, the insurance applies worldwide or in Europe depending on the nature of the insurance or in compliance with the insurance policy details. ",5
15,There is a geographical scope.,"Unless otherwise specified in the Special provisions for the individual insurance or service components, the insurance applies worldwide or in Europe depending on the nature of the insurance or in compliance with the insurance policy details.",5
15,There is a scope for 2 geographical areas.,"Unless otherwise specified in the Special provisions for the individual insurance or service components, the insurance applies worldwide or in Europe, depending on the nature of the insurance or in compliance with the insurance policy details.",5
16,3 Extension of the insurance cover ,"If the policyholder moves abroad during the contract term, the contract will lapse on the expiry date following the change of domicile. From the date of changing domicile, the insurance cover only applies for trips booked in Switzerland until the insurance expiry date. ",5
16,The insurance cover can be extended.,The insurance cover only applies for trips booked in Switzerland until the insurance expires.,5
16,The insurance cover can be extended 3 times.,The insurance cover only applies to trips booked in Switzerland until the insurance expires.,5
17,4 Non-insured events and benefits ,Costs related to kidnappings are not insured. ,5
17,There are 4 non-insured events.,Kidnappings are not insured.,5
17,There are 4 non-insured events and benefits.,Kidnappings are not covered by insurance.,5
18,5 Duties in the event of a claim ,Breach of duties ,5
18,"In the event of a claim, there are 5 duties.",There was a violation of duties.,5
18,There are 5 duties in the event of a claim.,There was a breech of duties.,5
19,"If the entitled person is in breach of his/her obligations, Allianz Travel can withhold or reduce the benefits. ",,5
19,"If the person is in violation of his/her obligations, the benefits can be cut off.",There is a,5
19,"If the person is in violation of his/her obligations, the benefits can be reduced or even removed.",There is a person,5
20,7 Definitions ,"Allianz Travel reserves the right to adjust premiums for annual insurance policies and is accordingly entitled to request an amendment of the insurance contract. In this case, Allianz Travel will inform the policyholder of the premium adjustment in writing at least 30 days before it comes into effect. The policyholder has the right to terminate the contract with effect from when the premium adjustment would apply. The policyholderâ€™s termination of cover is valid, provided it is received by Allianz Travel no later than the last day before the premium adjustment comes into force. ",6
20,There are 7 definitions.,"In this case, the insurer will inform the policy holder of the premium adjustment in writing at least 30 days before it takes effect.",6
20,There are seven definitions.,"In this case, the insurer will inform the policy holder in writing at least 30 days before the premium adjustment takes effect.",6
21,8 ,"If the insured or entitled person has been compensated by a liable third party or the third party's insurer, any compensation due under this contract is rendered void. If a claim is made against Allianz Travel instead of the liable party, the insured or entitled person must concede his/her liability claims up to the extent of the compensation received from Allianz Travel. ",6
21,8,"If a claim is made against a third party other than the liable party, the insured or entitled person must concede his/her liability claims up.",6
21,8.,"If a claim is made against a third party other than the liable party, the insured or entitled person must concede his/her liability claims.",6
22,9 ,,6
22,9,There is a,6
22,9.,There is a person,6
23,10 Limitation period ,Claims under the insurance contract expire five years after the occurrence of the event giving rise to the obligation to pay benefits. ,6
23,The period is 10 years.,"Five years after the occurrence of the event, the obligation to pay benefits is no longer valid.",6
23,The period is 10.,"Five years after the occurrence of the event, the obligation to pay benefits is due.",6
24,11 Place of jurisdiction and applicable law ,The Swiss Insurance Contract Act (ICA) applies in addition to these provisions. ,6
24,The place of jurisdiction and applicable law are listed.,The Swiss Insurance Contract Act applies to these provisions.,6
24,The place of jurisdiction is related to the law.,The Swiss Insurance Contract Act is applicable to these provisions.,6
25,12 Hierarchy of regulations ,"In the event of linguistic differences between the French, Italian, English and German GTC, the German version will always apply where any doubt exists. ",6
25,The hierarchy of regulations.,The German version of the GTC will always apply where there is doubt about the language.,6
25,There are a number of regulations.,The German version of the GTC will always apply if there is a doubt about the language.,6
26,13 Contact address ,B Medical assistance ,8
26,The contact address is 13,Medical assistance.,8
26,The address is 13,Medical help.,8
27,1 Insured amount ,The insured amount can be seen in the table of benefits. ,8
27,The amount is insured.,The table of benefits shows the insured amount.,8
27,The insured amount is 1,The table of benefits has the insured amount in it.,8
28,2 Insured events ,"Serious illness, serious accident, complications of pregnancy or unexpected worsening of a chronic illness If during the trip the insured person suffers a serious illness (including being diagnosed with an epidemic or a pandemic disease such as e. g. COVID-19), a serious accident, complications of pregnancy or a medically certified, unexpected worsening of a chronic illness. ",8
28,There are 2 insured events.,"If the insured person suffers a serious illness, including being diagnosed with an epidemic or a Pandemic disease, during the trip, they will be covered by the policy.",8
28,2 events are insured.,"If the insured person suffers a serious illness, including being diagnosed with an epidemic or a Pandemic disease, during the trip, they will not be covered.",8
29,3 Insured benefits ,Additional communication costs in the event of a delayed return journey Assumption of any additional communication costs incurred (telephone/data package) up to a maximum of a further CHF 150 per event if the insured person has to extend the trip due to an insured event. ,8
29,There are 3 insured benefits.,"If the insured person has to extend the trip due to an insured event, the additional communication costs should be taken into account.",8
29,3 benefits are insured.,"If the insured person has to extend the trip due to an insured event, the additional communication costs will be taken into account.",8
30,4 Non-insured events and benefits (in addition to section I 4) ,C Travel assistance ,8
30,There are 4 non-insured events and benefits.,Travel assistance.,8
30,Non-insured events and benefits are included in section I.,Travel assistance,8
31,1 Insured amount ,The insured amount can be seen in the table of benefits. ,8
31,The amount is insured.,The table of benefits shows the insured amount.,8
31,The insured amount is 1,The table of benefits has the insured amount in it.,8
32,2 Insured events ,Strike ,8
32,There are 2 insured events.,Strike.,8
32,2 events are insured.,It is a strike.,8
33,If it can be proven that a strike (excluding a strike by the travel company or its service providers) makes it impossible for the insured person to continue the trip to the destination. ,"If theft of personal documents (passport, ID card, travel tickets or accommodation vouchers) makes it temporarily impossible for the insured person to continue the trip or make the return journey to Switzerland. ",9
33,"If a strike by the travel company or its service providers makes it impossible for the insured person to continue the trip, then that is a strike.","If personal documents such aspassport, ID card, travel tickets or accommodation vouchers are stolen, it will be impossible for the insured person to continue the trip or return to Switzerland.",9
33,"If a strike by the travel company or its service providers makes it impossible for the insured person to continue the trip, then that is a problem.","If personal documents such aspassport, ID card, travel tickets, and accommodation vouchers are stolen, it will be impossible for the insured person to continue the trip or return to Switzerland.",9
34,3 Insured benefits ,"Assumption of the additional costs up to a total of CHF 1,500 per insured person if unforeseen expenses (taxi fares, costs of accommodation and telephone calls etc.) are incurred in connection with an insured event. These limits include an additional compensation limit of a maximum of CHF 200 for the costs of telephone calls. ",9
34,There are 3 insured benefits.,"If unforeseen expenses are incurred in connection with an insured event, the additional costs can be as high as 1,500 per insured person.",9
34,3 benefits are insured.,"If unforeseen expenses are incurred in connection with an insured event, the additional costs can be as high as a total of 1,500 per insured person.",9
35,4 Non-insured events and benefits (in addition to section I 4) ,"Cost of meals, lost working time and other financial loss. ",9
35,There are 4 non-insured events and benefits.,"The cost of meals, lost working time, and other financial losses.",9
35,Non-insured events and benefits are included in section I.,"The cost of meals, lost working time, and other financial losses are included.",9
36,5 Duties in the event of a claim (in addition to section I 5) ,E Search and rescue costs ,9
36,In addition to section I 5 there are 5 duties in the event of a claim.,Search and rescue costs can be high.,9
36,"In addition to section I 5, there are 5 duties in the event of a claim.",Search and rescue costs can vary.,9
37,1 Insured amount ,,9
37,The amount is insured.,There is a,9
37,The insured amount is 1,There is a person,9
38,The insured amount can be seen in the table of benefits. ,,9
38,The table of benefits shows the insured amount.,There is a,9
38,The table of benefits has the insured amount in it.,There is a person,9
39,2 Temporal and geographical scope ,"The insurance applies for journeys throughout the entire world, with the exception of Switzerland, the Principality of Liechtenstein and the country where the insured person is legally resident. ",10
39,There is a temporal and geographical scope.,"The insurance applies to journeys throughout the entire world, with the exception of Switzerland and the country where the insured person is legally resident.",10
39,There are two temporal and geographical scope.,"The insurance applies to journeys throughout the entire world, with the exception of Switzerland and the country where the insured person is legal resident.",10
40,3 Insured event ,Telephone +41 44 202 00 00 Fax +41 44 283 33 33 ,10
40,3 insured events,Fax +41 44 283 33 33 can be reached.,10
40,3 insured events.,Fax +41 44 283 33 33 can be contacted.,10
41,4 Insured benefits ,Assumption of any necessary search and rescue costs. ,10
