,Question,Answer,Page
0,General terms and conditions of insurance of Allianz Travel ,The following customer information provides a concise overview of the insurer's identity and the material content of the insurance contract (Article 3 of the Swiss Insurance Contract Act â€“ ICA). Only the insurance policy and General terms and conditions of insurance (GTC) are authoritative for the content and scope of the rights and obligations derived from the insurance contract. ,1
0,The general terms and conditions of insurance of the company.,The material content of the insurance contract and the insurer's identity can be found in the following customer information.,1
0,The general terms and conditions of insurance of Allianz Travel are here.,The material content of the insurance contract and the insurer's identity are provided in the following customer information.,1
1,Who is the insurer? ,"The insurer is AWP P&C S.A., Saint-Ouen (Paris), Wallisellen Branch (Switzerland), hereinafter referred to as Allianz Travel. The company headquarters are at Richtiplatz 1, 8304 Wallisellen. The insurer for the legal protection insurance components is CAP Legal Protection Insurance Company Ltd. based at Neue Winterthurerstrasse 88, 8304 Wallisellen. ",1
1,Who is the insurer?,"The company headquarters are in Richtiplatz 1, 8304 Wallisellen.",1
1,The insurer is not known.,"The company headquarters are in Richtiplatz 1, 8 304 Wallisellen.",1
2,Who is the policyholder? ,The policyholder is the person designated as such in the insurance policy. ,1
2,Who is the insured?,The person is designated as the insurance policy's policyholder.,1
2,The person is the insurer.,"The person is designated as the insurance policy's ""policyholder"".",1
3,What risks are insured and what is the scope of the cover? ,Assumption of legal protection exclusively in conjunction with trips undertaken outside Switzerland and the Principality of Liechtenstein. ,1
3,What are the risks that are insured?,Trips undertaken outside Switzerland and the Principality of Liechtenstein are assumed of legal protection.,1
3,What are the risks that are insured and what is the scope of the cover?,Trips undertaken outside of Switzerland and the Principality of Liechtenstein are assumed of legal protection.,1
4,Which persons are insured? ,"In the case of insurance policies with a duration of less than one year (short-term insurances), the persons listed in the insurance policy are insured. The insured persons are in each case essentially set out in the insurance policy and the General terms and conditions of insurance (GTC). ",1
4,Which people are insured?,"In the case of insurance policies with a duration of less than one year, the insured persons are listed in the insurance policy.",1
4,Which people have insurance?,"In the case of insurance policies with a duration of less than one year, the insured persons are listed in the policy.",1
5,Temporal and geographical scope of the insurance cover ,"The insurance cover basically applies worldwide during the insurance period. Local restrictions in the special provisions for the individual insurance components as well as economic or trade sanctions or embargoes of the United Nations, the European Union, the United States of America or Switzerland that contradict the insurance cover remain reserved. ",1
5,There is a temporal and geographical scope to the insurance cover.,"Local restrictions on the individual insurance components as well as economic or trade sanctions or embargoes of the United Nations, the European Union, the United States of America or Switzerland that contradict the insurance cover remain reserved.",1
5,The temporal and geographical scope of the insurance cover.,"Local restrictions on the individual insurance components as well as economic or trade sanctions or embargoes of the United Nations, the European Union, the United States of America or Switzerland that are contrary to the insurance cover remain reserved.",1
6,What are the main exclusions? ,"In particular, there is no entitlement to benefits if the Allianz Travel emergency call centre has not agreed to the benefits in advance or the roadside assistance or towing has not been organised by the Allianz Travel emergency call centre. ",2
6,What are the main exclusions?,There is no entitlement to benefits if the roadside assistance or towing has not been organised by the emergency call centre.,2
6,What are the main reasons for exclusions?,There is no entitlement to benefits if the roadside assistance or towing has not been organised by the emergency call centre of the company.,2
7,Which obligations are incumbent on the policyholder and insured persons? ,"Any need for legal assistance must be reported as quickly as possible to CAP Legal Protection, Major Customer Support, P.O. Box, 8010 Zurich, telephone +41 58 358 09 09, fax +41 58 358 09 10, capoffice@cap.ch, reference Z75.1.685.643. ",2
7,Which obligations are incumbent on the insured?,"Any need for legal assistance must be reported as soon as possible to CAP Legal Protection, Major Customer Support.",2
7,Which obligations are incumbent on the insured and the policyholders?,Any need for legal assistance must be reported as soon as possible to CAP Legal Protection.,2
8,How much is the premium? ,The amount of the premium depends on the risks insured and stipulated level of cover. The amount of the premium is defined with the application and results from the insurance policy. ,2
8,How much is it?,The amount of the premium depends on the risks insured and the level of cover.,2
8,How much is the premium?,The amount of the premium depends on the risks insured.,2
9,When does the insurance begin and end? ,The beginning and end of the insurance policies with a duration of less than one year (short-term insurances) are defined in the application and detailed in the insurance policy. ,2
9,When does the insurance end?,The beginning and end of the insurance policies with a duration of less than one year are defined in the application and detailed in the insurance policy.,2
9,The insurance begins and ends.,The beginning and end of the insurance policies with a duration of less than a year are defined in the application and in the insurance policy.,2
10,Right of revocation ,"The policyholder may revoke the contract within a period of 14 days from the application to conclude the contract or the declaration of acceptance thereof by notifying the insurer in text form (e.g. letter, e-mail). The right of revocation is excluded for provisional cover commitments and contracts with a duration of less than one month. ",2
10,Right of revocation.,The right of revocation is not available for contracts with a duration of less than a year.,2
10,The right of revocation.,The right of revocation is excluded for contracts with a duration of less than a year.,2
11,How does Allianz Travel treat data? ,Allianz Travel stores data electronically or physically in compliance with the legal provisions. ,2
11,How does Allianz Travel treat data?,The data is kept in compliance with the legal provisions.,2
11,How does the data of a travel company be treated?,The data is stored in compliance with the legal provisions.,2
12,"Persons whose data is processed by Allianz Travel have the right, in accordance with the Data Protection Act (DPA), to ask what data concerning them Allianz Travel actually processes; they may also request the rectification of incorrect data. ",Richtiplatz 1 P.O. Box ,3
12,The Data Protection Act gives people who have their data processed by Allianz Travel the right to ask what data is actually used and to request the deletion of incorrect data.,Richtiplatz 1 P.O. Box.,3
12,The Data Protection Act gives people who have their data processed by Allianz Travel the right to ask what data is actually used.,Richtiplatz 1 P.O. Box,3
13,8304 Wallisellen ,F Substitute journey ,8
13,Wallisellen,Substitute journey.,8
13,Wallisellen 8 304,Substitute journey,8
14,1 Insured amount ,,8
14,The amount is insured.,There is a,8
14,The insured amount is 1,There is a person,8
15,The insured amount is specified in the insurance policy. ,,8
15,The amount that is insured is specified in the policy.,There is a,8
15,The insured amount is specified in the policy.,There is a person,8
16,2 Insured events ,"The insured person is entitled to a substitute journey if he/she has had to terminate the trip prematurely due to repatriation under medical supervision or an extra return journey as per sections II B 2, II B 3.2 and II B 3.3. ",9
16,There are 2 insured events.,"If the insured person has had to end the trip early due to medical supervision or an extra return journey, he/she is entitled to a substitute journey.",9
16,2 events are insured.,"If the insured person had to end the trip early due to medical supervision or an extra return journey, he/she is entitled to a substitute journey.",9
17,3 Insured benefit ,The insured person will receive a travel voucher to the value of the originally booked arrangement if an insured events occurs. Any unused services under the arrangement and any reimbursements arising from repatriation or an extra return journey will be offset against any compensation entitlement. This benefit only applies to the person who is ill or has suffered an accident. ,9
17,3 benefits are insured.,"If an insured event occurs, the insured person will receive a travel voucher to the value of the originally booked arrangement.",9
17,3 insured benefits.,"If an insured event occurs, the insured person will receive a travel voucher to the value of the original arrangement.",9
18,4 Non-insured event (in addition to section I 3) ,If the insured personâ€™s repatriation or extra return journey was not arranged by the Allianz Travel emergency call centre. ,9
18,There are 4 non-insured events.,If the insured person did not have their repatriation or extra return journey arranged by the emergency call centre.,9
18,In addition to section I 3 there are 4 non-insured events.,If the insured person did not have their repatriation arranged by the emergency call centre.,9
19,5 Duties in the event of a claim (in addition to section I 4) ,The insured amount can be seen in the table of benefits. ,9
19,"In addition to section I 4, there are 5 duties in the event of a claim.",The table of benefits shows the insured amount.,9
19,In addition to section I 4 there are 5 duties in the event of a claim.,The table of benefits has the insured amount in it.,9
20,2 Insured persons ,Persons as per section I 1 are insured up to their 81st birthday. ,9
20,2 people are insured.,Section I 1 states that people are insured up to their 81st birthday.,9
20,2 people are insured,The section I 1 states that people are insured up to their 81st birthday.,9
21,3 Temporal and geographical scope ,"On expiry of this insurance cover, the health care cost cover abroad can be renewed following a four-week waiting period. Should it emerge in a loss event that this condition was not complied with, the loss will not qualify for cover. ",9
21,There is a temporal and geographical scope.,The health care cost cover abroad can be renewed after a four week waiting period.,9
21,There is a temporal and geographic scope.,The health care cost cover abroad can be renewed after a four week waiting period if the condition is met.,9
22,4 Insured events ,If the insured person becomes seriously ill (including being diagnosed with an epidemic or a pandemic disease such as e. g. COVID-19) during a trip or suffers a serious accident and emergency treatment is required. ,9
22,There are 4 insured events.,"If the insured person becomes seriously ill, including being diagnosed with an epidemic, emergency treatment is required.",9
22,4 insured events.,"If the insured person becomes seriously ill, including being diagnosed with an epidemic or a Pandemic disease, emergency treatment is required.",9
23,5 Insured benefits ,"The doctors at the Allianz Travel emergency call centre will agree to or refuse treatment in a private ward as per section II H 5.3 at their own discretion, taking account of the local medical conditions of the country in question and having considered the medical necessity or reasonableness of the treatment in question. In the event that the insured person receives treatment in a private ward without obtaining the agreement of the doctors at the Allianz Travel emergency call centre or despite them expressly assigning the person to a general ward, the insured person shall bear sole responsibility and the costs for this. ",9
23,5 benefits are insured.,The doctors at the emergency call centre at the Allianz Travel can refuse or agree to treat in a private ward if they consider the local medical conditions of the country in question and have considered the medical necessity or reasonableness of the treatment in question.,9
23,5 insured benefits.,The doctors at the emergency call centre at the Allianz Travel can refuse or agree to treat in a private ward if they consider the local medical conditions of the country in question and have considered the medical necessity or reasonableness of the treatment.,9
24,6 Refund of costs ,"Costs of any excess or deductibles in relation to statutory social insurance schemes (health insurance, accident insurance etc.) and any supplementary insurances. ",10
24,There is a return of costs.,Statutory social insurance schemes and supplementary insurances have their own costs of excess or deductible.,10
24,6 refunds of costs.,Statutory social insurance schemes have costs of excess or deductible in relation to it.,10
25,8 Duties in the event of a claim (in addition to section I 4) ,J Collision damage waiver for rental vehicles (CDW) ,10
25,"In addition to section I 4, there are 8 duties in the event of a claim.",There is a collision damage waiver for rental vehicles.,10
25,In addition to section I 4 there are 8 duties in the event of a claim.,There is a collision damage waiver for rental cars.,10
26,1 Insured amount ,The insured amount can be seen in the table of benefits. ,10
26,The amount is insured.,The table of benefits shows the insured amount.,10
26,The insured amount is 1,The table of benefits has the insured amount in it.,10
27,2 Duration of cover ,Cover starts on the date given in the rental agreement and ends on the date given in the rental agreement or at the latest when the vehicle is returned to the rental firm. The cover applies to losses triggered during the rental agreement term. ,10
27,The cover has two different lengths.,The cover starts when the rental agreement is signed and ends when the vehicle is returned to the rental firm.,10
27,The cover has 2 different lengths.,The cover starts when the rental agreement is signed and ends when the vehicle is returned to the firm.,10
28,3 Insured vehicles ,"Cars, motor homes, campervans, caravans, motorhomes, minibuses or motorbikes hired by an insured person during the trip are insured (definitive list). Taxis, driving school vehicles and vehicles used on a car-sharing basis (e.g. Mobility) are not covered. ",10
28,3 vehicles are insured.,"Cars, motor homes, campervans, caravans, motorhomes, minibuses or motorbikes hired by an insured person during the trip are insured.",10
28,3 vehicles are insured,"Cars, motor homes, campervans, caravans, motorhomes, minibuses or motorbikes hired by an insured person during the trip are not covered.",10
29,4 Insured events ,Damage to the hired vehicle or any loss resulting from the theft of the hired vehicle during the rental period are insured. The condition for payment is a covered event triggered by another insurance and a resulting excess. ,10
29,There are 4 insured events.,Damage to the hired vehicle is covered by another insurance and a resulting excess.,10
29,4 insured events.,"Damage to the hired vehicle is covered by another insurance and a resulting excess, which is triggered by another insurance.",10
30,5 Insured benefit ,"If the insured loss as per section II J 4 does not amount to the excess owed under the contract, Allianz Travel will assume the full costs, provided they relate to an insured event. ",10
30,5 insured benefits.,"If the insured loss does not amount to the excess owed under the contract, the full costs will be assumed by the travel company.",10
30,5 insured benefits,"If the insured loss does not amount to the excess owed under the contract, then the full costs will be assumed by the travel company.",10
31,6 Non-insured events (in addition to section I 3) ,Claims rejected by the provider of comprehensive or theft insurance. ,10
31,There are 6 non-insured events.,The provider of comprehensive or theft insurance will reject claims.,10
31,6 non-insured events.,The provider of comprehensive or theft insurance has the final say.,10
32,7 Duties in the event of a claim (in addition to section I 4) ,L Breakdown and accident assistance ,11
32,There are 7 duties in the event of a claim.,Accidents and breakdown assistance.,11
32,There are 7 duties in the event of a claim,L breakdown and accident assistance.,11
33,1 Insured amount ,"Bulgaria, Croatia, Cyprus (Greek part), Czech Republic, Denmark, Estonia, Finland, France, Germany, Gibraltar, Greece, Hungary, Iceland, Ireland, Italy, Kosovo, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Monaco, Montenegro, Netherlands, North Macedonia, Norway, Poland, Portugal, Romania, San Marino, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Turkey (European part), the United Kingdom. Switzerland is understood to include the Principality of Liechtenstein. The insurance cover extends to transport by sea if the points of departure and destination are in the covered geographical area. ",11
33,The amount is insured.,"Greece, Hungary, and Monaco are among the countries that have a Greek part.",11
33,The insured amount is 1,"Greece, Hungary, Ireland, Italy, Kosovo, Latvia, Liechtenstein, Luxembourg, Monaco, and North Macedonia are all part of the Greek part.",11
34,3 Insured vehicles ,The motor vehicle driven by the insured person (cars and caravans up to 3.5 t plus motorbikes). Licensed camping trailers and motor homes are also covered. ,11
34,3 vehicles are insured.,Cars and caravans up to 3.5 t plus motorbikes are covered.,11
34,3 vehicles are insured,Cars and caravans up to 3.5 t are covered.,11
35,4 Insured events and benefits ,"Delivering spare parts when abroad If the competent garage close by is unable to obtain the spare parts needed, Allianz Travel will organise and assume the costs for immediate delivery if possible. The costs of the spare parts are not covered. ",11
35,There are insured events and benefits.,The costs of the spare parts are not covered if the garage is unable to get the spare parts.,11
35,4 insured events.,The costs of the spare parts are not covered if the garage is unable to get them.,11
36,5 Non-insured events and benefits (in addition to section I 3) ,M Legal protection ,12
36,There are 5 non-insured events and benefits.,Legal protection.,12
36,There are 5 non-insured events.,M legal protection.,12
37,1 Insured amount ,The insured amount can be seen in the table of benefits. ,12
37,The amount is insured.,The table of benefits shows the insured amount.,12
37,The insured amount is 1,The table of benefits has the insured amount in it.,12
38,2 Subject and geographical scope ,The insured person enjoys legal protection exclusively for trips outside Switzerland and the Principality of Liechtenstein. The risk bearer is CAP Legal Protection Insurance Company Ltd. based in Wallisellen. ,12
38,Subject and geographical scope.,The risk bearer is CAP Legal Protection Insurance Company.,12
